Episode Number,Reward Sum,Running Reward
587,-21.0,-20.448266095855733
588,-20.0,-20.443783434897174
589,-19.0,-20.429345600548203
590,-21.0,-20.43505214454272
591,-20.0,-20.430701623097292
592,-21.0,-20.43639460686632
593,-21.0,-20.442030660797656
594,-20.0,-20.43761035418968
595,-20.0,-20.433234250647782
596,-21.0,-20.438901908141304
597,-20.0,-20.43451288905989
598,-21.0,-20.44016776016929
599,-20.0,-20.435766082567596
600,-21.0,-20.441408421741922
601,-20.0,-20.436994337524503
602,-21.0,-20.44262439414926
603,-21.0,-20.448198150207766
604,-21.0,-20.45371616870569
605,-21.0,-20.459179007018633
606,-20.0,-20.454587216948447
607,-20.0,-20.45004134477896
608,-18.0,-20.42554093133117
609,-20.0,-20.421285522017858
610,-19.0,-20.40707266679768
611,-21.0,-20.413001940129707
612,-20.0,-20.40887192072841
613,-21.0,-20.414783201521125
614,-21.0,-20.420635369505913
615,-21.0,-20.426429015810854
616,-20.0,-20.422164725652745
617,-21.0,-20.42794307839622
618,-21.0,-20.433663647612256
619,-20.0,-20.429327011136134
620,-20.0,-20.425033741024773
621,-21.0,-20.430783403614527
622,-20.0,-20.42647556957838
623,-18.0,-20.402210813882593
624,-21.0,-20.40818870574377
625,-20.0,-20.40410681868633
626,-21.0,-20.410065750499466
627,-21.0,-20.415965092994472
628,-20.0,-20.411805442064527
629,-21.0,-20.41768738764388
630,-20.0,-20.41351051376744
631,-21.0,-20.41937540862977
632,-19.0,-20.405181654543473
633,-21.0,-20.41112983799804
634,-19.0,-20.39701853961806
635,-21.0,-20.40304835422188
636,-21.0,-20.409017870679662
637,-21.0,-20.414927691972867
638,-21.0,-20.42077841505314
639,-21.0,-20.426570630902606
640,-19.0,-20.41230492459358
641,-19.0,-20.398181875347646
642,-19.0,-20.38420005659417
643,-21.0,-20.39035805602823
644,-21.0,-20.396454475467948
645,-20.0,-20.392489930713268
646,-19.0,-20.378565031406136
647,-21.0,-20.384779381092077
648,-21.0,-20.390931587281155
649,-21.0,-20.397022271408346
650,-19.0,-20.383052048694264
651,-20.0,-20.37922152820732
652,-21.0,-20.385429312925247
653,-20.0,-20.381575019795992
654,-21.0,-20.387759269598032
655,-21.0,-20.39388167690205
656,-19.0,-20.37994286013303
