Episode Number,Reward Sum,Running Reward
5844,-21,-20.0493646
5845,-21,-20.05887095
5846,-19,-20.04828224
5847,-21,-20.05779942
5848,-21,-20.06722142
5849,-20,-20.06654921
5850,-17,-20.03588372
5851,-18,-20.01552488
5852,-21,-20.02536963
5853,-21,-20.03511594
5854,-19,-20.02476478
5855,-20,-20.02451713
5856,-20,-20.02427196
5857,-21,-20.03402924
5858,-21,-20.04368895
5859,-19,-20.03325206
5860,-21,-20.04291954
5861,-20,-20.04249034
5862,-19,-20.03206544
5863,-20,-20.03174478
5864,-20,-20.03142733
5865,-18,-20.01111306
5866,-21,-20.02100193
5867,-21,-20.03079191
5868,-21,-20.04048399
5869,-20,-20.04007915
5870,-19,-20.02967836
5871,-20,-20.02938158
5872,-20,-20.02908776
5873,-20,-20.02879688
5874,-21,-20.03850892
5875,-20,-20.03812383
5876,-16,-19.99774259
5877,-21,-20.00776516
5878,-19,-19.99768751
5879,-20,-19.99771064
5880,-20,-19.99773353
5881,-21,-20.00775619
5882,-19,-19.99767863
5883,-21,-20.00770185
5884,-20,-20.00762483
5885,-20,-20.00754858
5886,-21,-20.01747309
5887,-21,-20.02729836
5888,-21,-20.03702538
5889,-21,-20.04665512
5890,-21,-20.05618857
5891,-21,-20.06562669
5892,-19,-20.05497042
5893,-21,-20.06442072
5894,-21,-20.07377651
5895,-20,-20.07303874
5896,-20,-20.07230836
5897,-20,-20.07158527
5898,-21,-20.08086942
5899,-21,-20.09006073
5900,-19,-20.07916012
5901,-20,-20.07836852
5902,-21,-20.08758483
5903,-21,-20.09670898
5904,-21,-20.10574189
5905,-21,-20.11468448
5906,-21,-20.12353763
5907,-21,-20.13230225
5908,-21,-20.14097923
5909,-19,-20.12956944
5910,-18,-20.10827375
5911,-21,-20.11719101
5912,-21,-20.1260191
5913,-21,-20.13475891
5914,-21,-20.14341132
5915,-20,-20.1419772
5916,-21,-20.15055743
5917,-19,-20.13905186
5918,-20,-20.13766134
5919,-19,-20.12628473
5920,-21,-20.13502188
5921,-18,-20.11367166
5922,-21,-20.12253494
5923,-20,-20.12130959
5924,-20,-20.1200965
5925,-21,-20.12889553
5926,-20,-20.12760658
5927,-21,-20.13633051
5928,-19,-20.12496721
5929,-20,-20.12371753
5930,-21,-20.13248036
5931,-20,-20.13115556
5932,-21,-20.139844
5933,-21,-20.14844556
5934,-21,-20.1569611
5935,-21,-20.16539149
5936,-20,-20.16373758
5937,-20,-20.1621002
5938,-19,-20.1504792
5939,-18,-20.12897441
5940,-19,-20.11768466
5941,-21,-20.12650782
5942,-21,-20.13524274
5943,-20,-20.13389031
5944,-21,-20.14255141
5945,-19,-20.1311259
5946,-20,-20.12981464
5947,-18,-20.10851649
5948,-21,-20.11743133
5949,-21,-20.12625701
5950,-21,-20.13499444
5951,-20,-20.1336445
5952,-21,-20.14230805
5953,-20,-20.14088497
5954,-21,-20.14947612
5955,-21,-20.15798136
5956,-19,-20.14640155
5957,-21,-20.15493753
5958,-21,-20.16338816
5959,-19,-20.15175427
5960,-21,-20.16023673
5961,-20,-20.15863436
5962,-20,-20.15704802
5963,-20,-20.15547754
5964,-20,-20.15392277
5965,-21,-20.16238354
5966,-21,-20.1707597
5967,-21,-20.17905211
5968,-20,-20.17726158
5969,-21,-20.18548897
5970,-19,-20.17363408
5971,-18,-20.15189774
5972,-20,-20.15037876
5973,-19,-20.13887497
5974,-20,-20.13748622
5975,-21,-20.14611136
5976,-20,-20.14465025
5977,-21,-20.15320375
5978,-21,-20.16167171
5979,-19,-20.15005499
5980,-21,-20.15855444
5981,-21,-20.1669689
